query,query_intent,reasoning_intent,rank,chunk_id,score,source_video,reasoning_type,pedagogical_role,retrieval_priority,matched_terms,matched_concepts,matched_causal_chains,matched_dictionary_terms,query_expansion_terms,knowledge_graph_boost_applied,why_retrieved,score_lexical_overlap,score_expanded_lexical_overlap,score_canonical_dictionary_terms,score_dictionary_category_match,score_golden_chunk_boost,score_reasoning_type_alignment,score_pedagogical_role_alignment,score_retrieval_priority_boost,score_sat_term_boost,score_cause_effect_boost,score_exam_strategy_boost,score_knowledge_graph_match,score_causal_chain_match,score_concept_match,score_source_concept_phrase_match,score_quality_flags_penalty
How should I structure a 10 mark answer?,answer_structure,answer_structure,1,How_to_prepare_for_the_WSET_Level_3_Tasting_Exam-0009,0.681,How to prepare for the WSET Level 3 Tasting Exam,exam_strategy,exam_strategy,medium,answer|mark|structure,,,,,False,"matched canonical/query terms: answer, mark, structure|medium retrieval priority in golden QA report|aligns with answer_structure reasoning intent|pedagogical role fits answer_structure|contains exam or marks strategy language",0.18,0.1,0.08,0.0,0.0,0.091,0.1,0.06,0.0,0.0,0.07,0.0,0.0,0.0,0.0,-0.0
How should I structure a 10 mark answer?,answer_structure,answer_structure,2,How_to_pass_your_WSET_Level_3_Theory_Exam-0012,0.641,How to pass your WSET Level 3 Theory Exam!,exam_strategy,exam_strategy,low,answer|mark|structure,,,,,False,"matched canonical/query terms: answer, mark, structure|aligns with answer_structure reasoning intent|pedagogical role fits answer_structure|contains exam or marks strategy language",0.18,0.1,0.08,0.0,0.0,0.091,0.1,0.02,0.0,0.0,0.07,0.0,0.0,0.0,0.0,-0.0
How should I structure a 10 mark answer?,answer_structure,answer_structure,3,How_to_pass_your_WSET_Level_3_Theory_Exam-0007,0.5877,How to pass your WSET Level 3 Theory Exam!,exam_strategy,exam_strategy,medium,mark|structure,,,,,False,"matched canonical/query terms: mark, structure|medium retrieval priority in golden QA report|aligns with answer_structure reasoning intent|pedagogical role fits answer_structure|contains exam or marks strategy language",0.12,0.0667,0.08,0.0,0.0,0.091,0.1,0.06,0.0,0.0,0.07,0.0,0.0,0.0,0.0,-0.0
How should I structure a 10 mark answer?,answer_structure,answer_structure,4,How_to_pass_your_WSET_Level_3_Theory_Exam-0011,0.5877,How to pass your WSET Level 3 Theory Exam!,exam_strategy,exam_strategy,medium,answer|mark,,,,,False,"matched canonical/query terms: answer, mark|medium retrieval priority in golden QA report|aligns with answer_structure reasoning intent|pedagogical role fits answer_structure|contains exam or marks strategy language",0.12,0.0667,0.08,0.0,0.0,0.091,0.1,0.06,0.0,0.0,0.07,0.0,0.0,0.0,0.0,-0.0
How should I structure a 10 mark answer?,answer_structure,answer_structure,5,How_to_pass_your_WSET_Level_3_Theory_Exam-0014,0.5877,How to pass your WSET Level 3 Theory Exam!,exam_strategy,exam_strategy,medium,answer|structure,,,,,False,"matched canonical/query terms: answer, structure|medium retrieval priority in golden QA report|aligns with answer_structure reasoning intent|pedagogical role fits answer_structure|contains exam or marks strategy language",0.12,0.0667,0.08,0.0,0.0,0.091,0.1,0.06,0.0,0.0,0.07,0.0,0.0,0.0,0.0,-0.0
How should I structure a 10 mark answer?,answer_structure,answer_structure,6,How_to_pass_your_WSET_Level_3_Theory_Exam-0015,0.5877,How to pass your WSET Level 3 Theory Exam!,exam_strategy,exam_strategy,medium,answer|mark,,,,,False,"matched canonical/query terms: answer, mark|medium retrieval priority in golden QA report|aligns with answer_structure reasoning intent|pedagogical role fits answer_structure|contains exam or marks strategy language",0.12,0.0667,0.08,0.0,0.0,0.091,0.1,0.06,0.0,0.0,0.07,0.0,0.0,0.0,0.0,-0.0
How should I structure a 10 mark answer?,answer_structure,answer_structure,7,How_to_pass_your_WSET_Level_3_Theory_Exam-0016,0.5877,How to pass your WSET Level 3 Theory Exam!,exam_strategy,exam_strategy,medium,answer|mark,,,,,False,"matched canonical/query terms: answer, mark|medium retrieval priority in golden QA report|aligns with answer_structure reasoning intent|pedagogical role fits answer_structure|contains exam or marks strategy language",0.12,0.0667,0.08,0.0,0.0,0.091,0.1,0.06,0.0,0.0,0.07,0.0,0.0,0.0,0.0,-0.0
How should I structure a 10 mark answer?,answer_structure,answer_structure,8,How_to_prepare_for_the_WSET_Level_3_Tasting_Exam-0006,0.5877,How to prepare for the WSET Level 3 Tasting Exam,exam_strategy,exam_strategy,medium,answer|mark,,,,,False,"matched canonical/query terms: answer, mark|medium retrieval priority in golden QA report|aligns with answer_structure reasoning intent|pedagogical role fits answer_structure|contains exam or marks strategy language",0.12,0.0667,0.08,0.0,0.0,0.091,0.1,0.06,0.0,0.0,0.07,0.0,0.0,0.0,0.0,-0.0
How should I structure a 10 mark answer?,answer_structure,answer_structure,9,How_to_prepare_for_the_WSET_Level_3_Tasting_Exam-0010,0.5877,How to prepare for the WSET Level 3 Tasting Exam,exam_strategy,exam_strategy,medium,answer|mark,,,,,False,"matched canonical/query terms: answer, mark|medium retrieval priority in golden QA report|aligns with answer_structure reasoning intent|pedagogical role fits answer_structure|contains exam or marks strategy language",0.12,0.0667,0.08,0.0,0.0,0.091,0.1,0.06,0.0,0.0,0.07,0.0,0.0,0.0,0.0,-0.0
How should I structure a 10 mark answer?,answer_structure,answer_structure,10,Master_Winemaking_for_WSET_Level_3_Exam_Clarification_Techniques_Explained-0002,0.5477,Master Winemaking for WSET Level 3 Exam Clarification Techniques Explained 🍷,exam_strategy,exam_strategy,low,answer|mark,,,,,False,"matched canonical/query terms: answer, mark|aligns with answer_structure reasoning intent|pedagogical role fits answer_structure|contains exam or marks strategy language",0.12,0.0667,0.08,0.0,0.0,0.091,0.1,0.02,0.0,0.0,0.07,0.0,0.0,0.0,0.0,-0.0
